Project ID	Project Name 	Country Code	Borrower	Guarantor
P169913	Econ. Management and Competitiveness DPO	GE	MINISTRY OF FINANCE - Georgia	Georgia
P169913	Econ. Management and Competitiveness DPO	GE	MINISTRY OF FINANCE - Georgia	Georgia
P169913	Econ. Management and Competitiveness DPO	GE	MINISTRY OF FINANCE - Georgia	Georgia
P169913	Econ. Management and Competitiveness DPO	GE	MINISTRY OF FINANCE - Georgia	Georgia
P169913	Econ. Management and Competitiveness DPO	GE	MINISTRY OF FINANCE - Georgia	Georgia
P169913	Econ. Management and Competitiveness DPO	GE	MINISTRY OF FINANCE - Georgia	Georgia
P169913	Econ. Management and Competitiveness DPO	GE	MINISTRY OF FINANCE - Georgia	Georgia
P169913	Econ. Management and Competitiveness DPO	GE	MINISTRY OF FINANCE - Georgia	Georgia
P169913	Econ. Management and Competitiveness DPO	GE	MINISTRY OF FINANCE - Georgia	Georgia
P168153	PIMA	PY	Ministerio de Hacienda	Paraguay
P168153	PIMA	PY	Ministerio de Hacienda	Paraguay
P168153	PIMA	PY	Ministerio de Hacienda	Paraguay
P168153	PIMA	PY	Ministerio de Hacienda	Paraguay
P168153	PIMA	PY	Ministerio de Hacienda	Paraguay
P168153	PIMA	PY	Ministerio de Hacienda	Paraguay
P168153	PIMA	PY	Ministerio de Hacienda	Paraguay
P168153	PIMA	PY	Ministerio de Hacienda	Paraguay
P168153	PIMA	PY	Ministerio de Hacienda	Paraguay
P169677	Growing up Healthy Together	SV	MINISTERIO DE HACIENDA	El Salvador
P169677	Growing up Healthy Together	SV	MINISTERIO DE HACIENDA	El Salvador
P169677	Growing up Healthy Together	SV	MINISTERIO DE HACIENDA	El Salvador
P169677	Growing up Healthy Together	SV	MINISTERIO DE HACIENDA	El Salvador
P169677	Growing up Healthy Together	SV	MINISTERIO DE HACIENDA	El Salvador
P169677	Growing up Healthy Together	SV	MINISTERIO DE HACIENDA	El Salvador
P169677	Growing up Healthy Together	SV	MINISTERIO DE HACIENDA	El Salvador
P169677	Growing up Healthy Together	SV	MINISTERIO DE HACIENDA	El Salvador
P169677	Growing up Healthy Together	SV	MINISTERIO DE HACIENDA	El Salvador
P163328	HP State Roads Transformation Project	IN	CONTROLLER OF AID ACCOUNTS & AUDIT	India
P163328	HP State Roads Transformation Project	IN	CONTROLLER OF AID ACCOUNTS & AUDIT	India
P163328	HP State Roads Transformation Project	IN	CONTROLLER OF AID ACCOUNTS & AUDIT	India
P163328	HP State Roads Transformation Project	IN	CONTROLLER OF AID ACCOUNTS & AUDIT	India
P163328	HP State Roads Transformation Project	IN	CONTROLLER OF AID ACCOUNTS & AUDIT	India
P163328	HP State Roads Transformation Project	IN	CONTROLLER OF AID ACCOUNTS & AUDIT	India
P163328	HP State Roads Transformation Project	IN	CONTROLLER OF AID ACCOUNTS & AUDIT	India
P163328	HP State Roads Transformation Project	IN	CONTROLLER OF AID ACCOUNTS & AUDIT	India
P163328	HP State Roads Transformation Project	IN	CONTROLLER OF AID ACCOUNTS & AUDIT	India
P171316	ES - Growing Up and Learning Together	SV	MINISTERIO DE HACIENDA	El Salvador
P171316	ES - Growing Up and Learning Together	SV	MINISTERIO DE HACIENDA	El Salvador
P171316	ES - Growing Up and Learning Together	SV	MINISTERIO DE HACIENDA	El Salvador
P171316	ES - Growing Up and Learning Together	SV	MINISTERIO DE HACIENDA	El Salvador
P171316	ES - Growing Up and Learning Together	SV	MINISTERIO DE HACIENDA	El Salvador
P171316	ES - Growing Up and Learning Together	SV	MINISTERIO DE HACIENDA	El Salvador
P171316	ES - Growing Up and Learning Together	SV	MINISTERIO DE HACIENDA	El Salvador
P171316	ES - Growing Up and Learning Together	SV	MINISTERIO DE HACIENDA	El Salvador
P171316	ES - Growing Up and Learning Together	SV	MINISTERIO DE HACIENDA	El Salvador
P170477	Investing in Human Capital	PE	Ministerio De Economia Y Finanzas	Peru
P170477	Investing in Human Capital	PE	Ministerio De Economia Y Finanzas	Peru
P170477	Investing in Human Capital	PE	Ministerio De Economia Y Finanzas	Peru
P170477	Investing in Human Capital	PE	Ministerio De Economia Y Finanzas	Peru
P170477	Investing in Human Capital	PE	Ministerio De Economia Y Finanzas	Peru
P170477	Investing in Human Capital	PE	Ministerio De Economia Y Finanzas	Peru
P170477	Investing in Human Capital	PE	Ministerio De Economia Y Finanzas	Peru
P170477	Investing in Human Capital	PE	Ministerio De Economia Y Finanzas	Peru
P170477	Investing in Human Capital	PE	Ministerio De Economia Y Finanzas	Peru
P169134	Mobility and Inclusion in Belo Horizonte	BR	Municipality of Belo Horizonte	Brazil
P169134	Mobility and Inclusion in Belo Horizonte	BR	Municipality of Belo Horizonte	Brazil
P169134	Mobility and Inclusion in Belo Horizonte	BR	Municipality of Belo Horizonte	Brazil
P169134	Mobility and Inclusion in Belo Horizonte	BR	Municipality of Belo Horizonte	Brazil
P169134	Mobility and Inclusion in Belo Horizonte	BR	Municipality of Belo Horizonte	Brazil
P169134	Mobility and Inclusion in Belo Horizonte	BR	Municipality of Belo Horizonte	Brazil
P169134	Mobility and Inclusion in Belo Horizonte	BR	Municipality of Belo Horizonte	Brazil
P169134	Mobility and Inclusion in Belo Horizonte	BR	Municipality of Belo Horizonte	Brazil
P169134	Mobility and Inclusion in Belo Horizonte	BR	Municipality of Belo Horizonte	Brazil
P001418	ROAD ENGINEERING	LR	Deputy Minister for Debt and Expenditure	Liberia
P001418	ROAD ENGINEERING	LR	Deputy Minister for Debt and Expenditure	Liberia
P170682	Sul Resiliente	BR	BANCO REG DE DESENVOLVIMENTO DO EXT SUL	Brazil
P170682	Sul Resiliente	BR	BANCO REG DE DESENVOLVIMENTO DO EXT SUL	Brazil
P170682	Sul Resiliente	BR	BANCO REG DE DESENVOLVIMENTO DO EXT SUL	Brazil
P170682	Sul Resiliente	BR	BANCO REG DE DESENVOLVIMENTO DO EXT SUL	Brazil
P170682	Sul Resiliente	BR	BANCO REG DE DESENVOLVIMENTO DO EXT SUL	Brazil
P170682	Sul Resiliente	BR	BANCO REG DE DESENVOLVIMENTO DO EXT SUL	Brazil
P170682	Sul Resiliente	BR	BANCO REG DE DESENVOLVIMENTO DO EXT SUL	Brazil
P170682	Sul Resiliente	BR	BANCO REG DE DESENVOLVIMENTO DO EXT SUL	Brazil
P170682	Sul Resiliente	BR	BANCO REG DE DESENVOLVIMENTO DO EXT SUL	Brazil
P170682	Sul Resiliente	BR	BANCO REG DE DESENVOLVIMENTO DO EXT SUL	Brazil
P170682	Sul Resiliente	BR	BANCO REG DE DESENVOLVIMENTO DO EXT SUL	Brazil
P170682	Sul Resiliente	BR	BANCO REG DE DESENVOLVIMENTO DO EXT SUL	Brazil
P170682	Sul Resiliente	BR	BANCO REG DE DESENVOLVIMENTO DO EXT SUL	Brazil
P170682	Sul Resiliente	BR	BANCO REG DE DESENVOLVIMENTO DO EXT SUL	Brazil
P170682	Sul Resiliente	BR	BANCO REG DE DESENVOLVIMENTO DO EXT SUL	Brazil
P170682	Sul Resiliente	BR	BANCO REG DE DESENVOLVIMENTO DO EXT SUL	Brazil
P170682	Sul Resiliente	BR	BANCO REG DE DESENVOLVIMENTO DO EXT SUL	Brazil
P170682	Sul Resiliente	BR	BANCO REG DE DESENVOLVIMENTO DO EXT SUL	Brazil
P169866	Improving Health Quality and Efficieny	CO	MINISTERIO DE HACIENDA Y CREDITO PUBLICO	Colombia
P169866	Improving Health Quality and Efficieny	CO	MINISTERIO DE HACIENDA Y CREDITO PUBLICO	Colombia
P169866	Improving Health Quality and Efficieny	CO	MINISTERIO DE HACIENDA Y CREDITO PUBLICO	Colombia
P169866	Improving Health Quality and Efficieny	CO	MINISTERIO DE HACIENDA Y CREDITO PUBLICO	Colombia
P169866	Improving Health Quality and Efficieny	CO	MINISTERIO DE HACIENDA Y CREDITO PUBLICO	Colombia
P169866	Improving Health Quality and Efficieny	CO	MINISTERIO DE HACIENDA Y CREDITO PUBLICO	Colombia
P169866	Improving Health Quality and Efficieny	CO	MINISTERIO DE HACIENDA Y CREDITO PUBLICO	Colombia
P169866	Improving Health Quality and Efficieny	CO	MINISTERIO DE HACIENDA Y CREDITO PUBLICO	Colombia
P169866	Improving Health Quality and Efficieny	CO	MINISTERIO DE HACIENDA Y CREDITO PUBLICO	Colombia
P158791	Children and Youth Protection Project	AR	Ministry of Treasury	Argentina
P158791	Children and Youth Protection Project	AR	Ministry of Treasury	Argentina
P158791	Children and Youth Protection Project	AR	Secretariat Strategic Affairs Presidency	Argentina
P158791	Children and Youth Protection Project	AR	Secretariat Strategic Affairs Presidency	Argentina
P158791	Children and Youth Protection Project	AR	Secretariat Strategic Affairs Presidency	Argentina
P158791	Children and Youth Protection Project	AR	Secretariat Strategic Affairs Presidency	Argentina
P158791	Children and Youth Protection Project	AR	Secretariat Strategic Affairs Presidency	Argentina
P158791	Children and Youth Protection Project	AR	Secretariat Strategic Affairs Presidency	Argentina
P158791	Children and Youth Protection Project	AR	Secretariat Strategic Affairs Presidency	Argentina
P170850	META II	BR	MinistÃ©rio da Fazenda	Brazil
P170850	META II	BR	MinistÃ©rio da Fazenda	Brazil
P170850	META II	BR	MinistÃ©rio da Fazenda	Brazil
P170850	META II	BR	MinistÃ©rio da Fazenda	Brazil
P170850	META II	BR	MinistÃ©rio da Fazenda	Brazil
P170850	META II	BR	MinistÃ©rio da Fazenda	Brazil
P170850	META II	BR	MinistÃ©rio da Fazenda	Brazil
P172352	Fiscal Management Improvement Project	CR	MINISTERIO DE HACIENDA	Costa Rica
P172352	Fiscal Management Improvement Project	CR	MINISTERIO DE HACIENDA	Costa Rica
P172352	Fiscal Management Improvement Project	CR	MINISTERIO DE HACIENDA	Costa Rica
P172352	Fiscal Management Improvement Project	CR	MINISTERIO DE HACIENDA	Costa Rica
P172352	Fiscal Management Improvement Project	CR	MINISTERIO DE HACIENDA	Costa Rica
P172352	Fiscal Management Improvement Project	CR	MINISTERIO DE HACIENDA	Costa Rica
P172352	Fiscal Management Improvement Project	CR	MINISTERIO DE HACIENDA	Costa Rica
P172352	Fiscal Management Improvement Project	CR	MINISTERIO DE HACIENDA	Costa Rica
P172352	Fiscal Management Improvement Project	CR	MINISTERIO DE HACIENDA	Costa Rica
P121507	PK:  Dasu Hydropower Stage I Project	PK	MINISTRY OF FINANCE AND ECONOMIC AFFAIRS	Pakistan
P121507	PK:  Dasu Hydropower Stage I Project	PK	MINISTRY OF FINANCE AND ECONOMIC AFFAIRS	Pakistan
P121507	PK:  Dasu Hydropower Stage I Project	PK	MINISTRY OF FINANCE AND ECONOMIC AFFAIRS	Pakistan
P121507	PK:  Dasu Hydropower Stage I Project	PK	MINISTRY OF FINANCE AND ECONOMIC AFFAIRS	Pakistan
P121507	PK:  Dasu Hydropower Stage I Project	PK	MINISTRY OF FINANCE AND ECONOMIC AFFAIRS	Pakistan
P121507	PK:  Dasu Hydropower Stage I Project	PK	MINISTRY OF FINANCE AND ECONOMIC AFFAIRS	Pakistan
P121507	PK:  Dasu Hydropower Stage I Project	PK	MINISTRY OF FINANCE AND ECONOMIC AFFAIRS	Pakistan
P121507	PK:  Dasu Hydropower Stage I Project	PK	MINISTRY OF FINANCE AND ECONOMIC AFFAIRS	Pakistan
P121507	PK:  Dasu Hydropower Stage I Project	PK	MINISTRY OF FINANCE AND ECONOMIC AFFAIRS	Pakistan
P169996	Municipal Services Improvement Project	TR	ILLER BANKASI	Turkey
P169996	Municipal Services Improvement Project	TR	ILLER BANKASI	Turkey
P169996	Municipal Services Improvement Project	TR	ILLER BANKASI	Turkey
P169996	Municipal Services Improvement Project	TR	ILLER BANKASI	Turkey
P169996	Municipal Services Improvement Project	TR	ILLER BANKASI	Turkey
P169996	Municipal Services Improvement Project	TR	ILLER BANKASI	Turkey
P169996	Municipal Services Improvement Project	TR	ILLER BANKASI	Turkey
P169996	Municipal Services Improvement Project	TR	ILLER BANKASI	Turkey
P169996	Municipal Services Improvement Project	TR	ILLER BANKASI	Turkey
P171766	Formal Employment Creation Project	TR	TURKIYE KALKINMA BANKASI A. S.	Turkey
P171766	Formal Employment Creation Project	TR	TURKIYE KALKINMA BANKASI A. S.	Turkey
P171766	Formal Employment Creation Project	TR	TURKIYE KALKINMA BANKASI A. S.	Turkey
P171766	Formal Employment Creation Project	TR	TURKIYE KALKINMA BANKASI A. S.	Turkey
P171766	Formal Employment Creation Project	TR	TURKIYE KALKINMA BANKASI A. S.	Turkey
P171766	Formal Employment Creation Project	TR	TURKIYE KALKINMA BANKASI A. S.	Turkey
P171766	Formal Employment Creation Project	TR	TURKIYE KALKINMA BANKASI A. S.	Turkey
P171766	Formal Employment Creation Project	TR	TURKIYE KALKINMA BANKASI A. S.	Turkey
P171766	Formal Employment Creation Project	TR	TURKIYE KALKINMA BANKASI A. S.	Turkey
P167804	ENCORE	IN	CONTROLLER OF AID ACCOUNTS & AUDIT	India
P167804	ENCORE	IN	CONTROLLER OF AID ACCOUNTS & AUDIT	India
P167804	ENCORE	IN	CONTROLLER OF AID ACCOUNTS & AUDIT	India
P167804	ENCORE	IN	CONTROLLER OF AID ACCOUNTS & AUDIT	India
P167804	ENCORE	IN	CONTROLLER OF AID ACCOUNTS & AUDIT	India
P167804	ENCORE	IN	CONTROLLER OF AID ACCOUNTS & AUDIT	India
P167804	ENCORE	IN	CONTROLLER OF AID ACCOUNTS & AUDIT	India
P167804	ENCORE	IN	CONTROLLER OF AID ACCOUNTS & AUDIT	India
P004235	W/SUPPLY KUALA LUMPU	MY	MINISTRY OF FINANCE	Malaysia
P004235	W/SUPPLY KUALA LUMPU	MY	MINISTRY OF FINANCE	Malaysia
P171440	Third Disaster Risk Management DPL	PH	Department of Finance	Philippines
P171440	Third Disaster Risk Management DPL	PH	Department of Finance	Philippines
P171440	Third Disaster Risk Management DPL	PH	Department of Finance	Philippines
P171440	Third Disaster Risk Management DPL	PH	Department of Finance	Philippines
P171440	Third Disaster Risk Management DPL	PH	Department of Finance	Philippines
P171440	Third Disaster Risk Management DPL	PH	Department of Finance	Philippines
P171440	Third Disaster Risk Management DPL	PH	Department of Finance	Philippines
P171440	Third Disaster Risk Management DPL	PH	Department of Finance	Philippines
P169140	SÃ£o Paulo Aricanduva BRT Corridor	BR	MUNICIPALITY OF SÃƒO PAULO	Brazil
P169140	SÃ£o Paulo Aricanduva BRT Corridor	BR	MUNICIPALITY OF SÃƒO PAULO	Brazil
P169140	SÃ£o Paulo Aricanduva BRT Corridor	BR	MUNICIPALITY OF SÃƒO PAULO	Brazil
P169140	SÃ£o Paulo Aricanduva BRT Corridor	BR	MUNICIPALITY OF SÃƒO PAULO	Brazil
P169140	SÃ£o Paulo Aricanduva BRT Corridor	BR	MUNICIPALITY OF SÃƒO PAULO	Brazil
P169140	SÃ£o Paulo Aricanduva BRT Corridor	BR	MUNICIPALITY OF SÃƒO PAULO	Brazil
P169140	SÃ£o Paulo Aricanduva BRT Corridor	BR	MUNICIPALITY OF SÃƒO PAULO	Brazil
P169140	SÃ£o Paulo Aricanduva BRT Corridor	BR	MUNICIPALITY OF SÃƒO PAULO	Brazil
P173799	MONGOLIA EMERGENCY COVID-19 RESPONSE	MN	MINISTRY OF FINANCE & ECONOMY	Mongolia
P173799	MONGOLIA EMERGENCY COVID-19 RESPONSE	MN	MINISTRY OF FINANCE & ECONOMY	Mongolia
P173799	MONGOLIA EMERGENCY COVID-19 RESPONSE	MN	MINISTRY OF FINANCE & ECONOMY	Mongolia
P173799	MONGOLIA EMERGENCY COVID-19 RESPONSE	MN	MINISTRY OF FINANCE & ECONOMY	Mongolia
P173799	MONGOLIA EMERGENCY COVID-19 RESPONSE	MN	MINISTRY OF FINANCE & ECONOMY	Mongolia
P173799	MONGOLIA EMERGENCY COVID-19 RESPONSE	MN	MINISTRY OF FINANCE & ECONOMY	Mongolia
P173799	MONGOLIA EMERGENCY COVID-19 RESPONSE	MN	MINISTRY OF FINANCE	Mongolia
P173799	MONGOLIA EMERGENCY COVID-19 RESPONSE	MN	MINISTRY OF FINANCE	Mongolia
P173767	AR: COVID-19 Response	AR	Ministry of Treasury	Argentina
P173767	AR: COVID-19 Response	AR	Secretariat Strategic Affairs Presidency	Argentina
P173767	AR: COVID-19 Response	AR	Secretariat Strategic Affairs Presidency	Argentina
P173767	AR: COVID-19 Response	AR	Secretariat Strategic Affairs Presidency	Argentina
P173767	AR: COVID-19 Response	AR	Secretariat Strategic Affairs Presidency	Argentina
P173767	AR: COVID-19 Response	AR	Secretariat Strategic Affairs Presidency	Argentina
P173767	AR: COVID-19 Response	AR	Secretariat Strategic Affairs Presidency	Argentina
P173767	AR: COVID-19 Response	AR	Secretariat Strategic Affairs Presidency	Argentina
P173746	Emerging Infectious Disease PPR Project	CN	MINISTRY OF FINANCE	China
P173746	Emerging Infectious Disease PPR Project	CN	MINISTRY OF FINANCE	China
P173746	Emerging Infectious Disease PPR Project	CN	MINISTRY OF FINANCE	China
P173746	Emerging Infectious Disease PPR Project	CN	MINISTRY OF FINANCE	China
P173746	Emerging Infectious Disease PPR Project	CN	MINISTRY OF FINANCE	China
P173746	Emerging Infectious Disease PPR Project	CN	MINISTRY OF FINANCE	China
P173867	Sri Lanka COVID-19 Emergency Response	LK	Ministry of Fin, Economic & Policy Dev	Sri Lanka
P173867	Sri Lanka COVID-19 Emergency Response	LK	Ministry of Fin, Economic & Policy Dev	Sri Lanka
P173867	Sri Lanka COVID-19 Emergency Response	LK	Ministry of Fin, Economic & Policy Dev	Sri Lanka
P173867	Sri Lanka COVID-19 Emergency Response	LK	Ministry of Fin, Economic & Policy Dev	Sri Lanka
P173867	Sri Lanka COVID-19 Emergency Response	LK	Ministry of Fin, Economic & Policy Dev	Sri Lanka
P173867	Sri Lanka COVID-19 Emergency Response	LK	Ministry of Fin, Economic & Policy Dev	Sri Lanka
P173867	Sri Lanka COVID-19 Emergency Response	LK	Ministry of Fin, Economic & Policy Dev	Sri Lanka
P173867	Sri Lanka COVID-19 Emergency Response	LK	Ministry of Fin, Economic & Policy Dev	Sri Lanka
P173836	India COVID-19 Operation	IN	CONTROLLER OF AID ACCOUNTS & AUDIT	India
P173836	India COVID-19 Operation	IN	CONTROLLER OF AID ACCOUNTS & AUDIT	India
P173836	India COVID-19 Operation	IN	CONTROLLER OF AID ACCOUNTS & AUDIT	India
P173836	India COVID-19 Operation	IN	CONTROLLER OF AID ACCOUNTS & AUDIT	India
P173836	India COVID-19 Operation	IN	CONTROLLER OF AID ACCOUNTS & AUDIT	India
P173836	India COVID-19 Operation	IN	CONTROLLER OF AID ACCOUNTS & AUDIT	India
P173836	India COVID-19 Operation	IN	CONTROLLER OF AID ACCOUNTS & AUDIT	India
P173836	India COVID-19 Operation	IN	CONTROLLER OF AID ACCOUNTS & AUDIT	India
P173773	EC: COVID-19 Response Project	EC	Ministerio de Economia y Finanzas	Ecuador
P173773	EC: COVID-19 Response Project	EC	Ministerio de Economia y Finanzas	Ecuador
P173773	EC: COVID-19 Response Project	EC	Ministerio de Economia y Finanzas	Ecuador
P173773	EC: COVID-19 Response Project	EC	Ministerio de Economia y Finanzas	Ecuador
P173773	EC: COVID-19 Response Project	EC	Ministerio de Economia y Finanzas	Ecuador
P173773	EC: COVID-19 Response Project	EC	Ministerio de Economia y Finanzas	Ecuador
P173773	EC: COVID-19 Response Project	EC	Ministerio de Economia y Finanzas	Ecuador
P173773	EC: COVID-19 Response Project	EC	Ministerio de Economia y Finanzas	Ecuador
P173805	PY: COVID-19 Response	PY	Ministerio de Hacienda	Paraguay
P173805	PY: COVID-19 Response	PY	Ministerio de Hacienda	Paraguay
P173805	PY: COVID-19 Response	PY	Ministerio de Hacienda	Paraguay
P173805	PY: COVID-19 Response	PY	Ministerio de Hacienda	Paraguay
P173805	PY: COVID-19 Response	PY	Ministerio de Hacienda	Paraguay
P173805	PY: COVID-19 Response	PY	Ministerio de Hacienda	Paraguay
P173805	PY: COVID-19 Response	PY	Ministerio de Hacienda	Paraguay
P173805	PY: COVID-19 Response	PY	Ministerio de Hacienda	Paraguay
P007528	WATER SUPPLY I	MX	NACIONAL FINANCIERA, S.N.C. NAFIN	Mexico
P007528	WATER SUPPLY I	MX	NACIONAL FINANCIERA, S.N.C. NAFIN	Mexico
